timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], temperature.gpu, fan.speed [%]
2026/05/30 02:48:38.369, 100 %, 65 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:48:39.376, 100 %, 62 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:48:40.377, 100 %, 95 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:41.379, 100 %, 65 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:48:42.380, 100 %, 64 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:48:43.382, 100 %, 71 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:48:44.383, 100 %, 70 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:48:45.385, 100 %, 51 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:48:46.387, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:47.389, 100 %, 93 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:48:48.390, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:49.391, 100 %, 93 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:50.393, 100 %, 58 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:48:51.394, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:52.395, 100 %, 64 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:48:53.397, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:54.399, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:55.400, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:48:56.402, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:57.404, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:58.406, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:48:59.408, 100 %, 69 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:00.410, 100 %, 59 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:01.411, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:02.412, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:03.414, 100 %, 65 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:04.416, 100 %, 65 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:05.417, 100 %, 70 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:49:06.419, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:07.420, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:08.422, 100 %, 60 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:09.424, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:10.425, 100 %, 87 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:49:11.427, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:12.429, 100 %, 65 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:13.430, 100 %, 64 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:14.432, 100 %, 54 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:15.433, 100 %, 96 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:16.435, 100 %, 98 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:17.437, 100 %, 68 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:18.439, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:19.440, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:20.442, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:21.444, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:22.446, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:23.447, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:49:24.449, 100 %, 64 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:49:25.452, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:26.454, 100 %, 72 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:27.455, 100 %, 70 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:28.457, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:29.459, 100 %, 92 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:30.460, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:31.462, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:32.464, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:33.466, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:34.468, 100 %, 79 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:49:35.469, 100 %, 60 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:36.471, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:37.472, 100 %, 63 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:38.474, 100 %, 61 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:49:39.476, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:40.477, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:49:41.478, 100 %, 46 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:42.480, 100 %, 83 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:49:43.481, 100 %, 54 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:49:44.483, 100 %, 59 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:45.484, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:46.486, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:47.488, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:49:48.489, 100 %, 89 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:49:49.491, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:50.493, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:49:51.495, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:52.496, 100 %, 73 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:53.497, 100 %, 57 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:49:54.498, 100 %, 51 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:49:55.499, 100 %, 52 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:56.500, 100 %, 69 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:57.502, 100 %, 92 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:49:58.504, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:49:59.505, 100 %, 98 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:00.507, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:01.509, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:02.510, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:03.512, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:04.514, 100 %, 68 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:05.516, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:06.518, 100 %, 64 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:50:07.520, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:08.522, 100 %, 57 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:50:09.524, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:10.525, 100 %, 74 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:11.527, 100 %, 93 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:50:12.529, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:50:13.531, 100 %, 51 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:50:14.533, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:50:15.534, 100 %, 54 %, 21817 MiB, 2265 MiB, 75, 100 %
