group,percentile_range,mean,lower_err,upper_err,n,q1,q3
1,0-10%,39382.78931750742,14382.78931750742,10617.21068249258,1685,25000.0,50000.0
2,10-20%,84762.61127596439,9762.611275964387,15237.388724035613,1685,75000.0,100000.0
3,20-30%,129807.12166172107,29807.121661721074,20192.878338278926,1685,100000.0,150000.0
4,30-40%,186543.02670623147,11543.026706231467,13456.973293768533,1685,175000.0,200000.0
5,40-50%,250415.4302670623,415.4302670623001,0.0,1685,250000.0,250000.0
6,50-60%,333026.706231454,33026.70623145398,16973.29376854602,1685,300000.0,350000.0
7,60-70%,471899.10979228484,71899.10979228484,28100.890207715158,1685,400000.0,500000.0
8,70-80%,765267.06231454,115267.06231454003,34732.93768545997,1685,650000.0,800000.0
9,80-90%,1585459.940652819,385459.9406528189,414540.0593471811,1685,1200000.0,2000000.0
10,90-100%,10451127.59643917,6951127.59643917,1548872.4035608303,1685,3500000.0,12000000.0
