group,percentile_range,mean,lower_err,upper_err,n,q1,q3
1,0-10%,38501.259445843825,13501.259445843825,11498.740554156175,1985,25000.0,50000.0
2,10-20%,83190.5241935484,8190.524193548394,16809.475806451606,1984,75000.0,100000.0
3,20-30%,128224.18136020152,28224.181360201517,21775.818639798483,1985,100000.0,150000.0
4,30-40%,186580.14112903227,11580.141129032272,13419.858870967728,1984,175000.0,200000.0
5,40-50%,255188.9168765743,5188.916876574309,19811.08312342569,1985,250000.0,275000.0
6,50-60%,341771.6733870968,41771.67338709679,33228.32661290321,1984,300000.0,375000.0
7,60-70%,497670.0251889169,47670.02518891689,52329.97481108311,1985,450000.0,550000.0
8,70-80%,833908.7701612903,133908.7701612903,166091.2298387097,1984,700000.0,1000000.0
9,80-90%,1885440.8060453401,385440.80604534014,514559.19395465986,1985,1500000.0,2400000.0
10,90-100%,13569909.274193548,9069909.274193548,1430090.7258064523,1984,4500000.0,15000000.0
